scenario,wta_mean,wtp_ns_mean,wtp_er_mean,wtp_tr_mean
Baseline (excl. censored),162.6847290640394,4.705882352941177,3.872549019607843,6.102941176470588
"Censor 'No amount' at $1,000",174.87864077669903,5.388349514563107,4.563106796116505,6.771844660194175
"Censor 'No amount' at $2,000",189.44174757281553,5.388349514563107,4.563106796116505,6.771844660194175
