platform,n_personal,n_work,n_paid,pct_personal,pct_work,pct_paid
ChatGPT (OpenAI),159,101,39,77.18446601941747,49.029126213592235,18.932038834951456
Google Gemini,120,52,8,58.252427184466015,25.24271844660194,3.8834951456310676
Microsoft Copilot,57,45,5,27.669902912621357,21.844660194174757,2.4271844660194173
Claude (Anthropic),41,25,8,19.902912621359224,12.135922330097088,3.8834951456310676
Grok (xAI),28,8,5,13.592233009708737,3.8834951456310676,2.4271844660194173
Meta AI (Facebook / Instagram / WhatsApp),22,3,0,10.679611650485436,1.4563106796116505,0
Perplexity,14,6,4,6.796116504854369,2.912621359223301,1.9417475728155338
DeepSeek,6,1,0,2.912621359223301,0.48543689320388345,0
Character.AI,6,0,0,2.912621359223301,0,0
