measure,n,pct_zero,mean,median,sd,iqr
WTA memory erasure (W1),203,13.793103448275861,162.6847290640394,50,284.7620321666213,95
WTP Claude no strings (W2),204,55.392156862745104,4.705882352941177,0,7.304884977726558,5
WTP Claude with erasure (W4),204,66.66666666666666,3.872549019607843,0,8.152090690924213,5
WTP Claude with transfer (W3),204,49.01960784313725,6.102941176470588,5,8.238094330815793,10
